date,y,sgd
2013-01-01,2070394,2.4743
2013-02-01,2002709,2.5023
2013-03-01,2376295,2.4937
2013-04-01,1984982,2.4638
2013-05-01,2044039,2.4175
2013-06-01,2074674,2.4978
2013-07-01,2129393,2.5162
2013-08-01,1980960,2.5764
2013-09-01,2093392,2.5721
2013-10-01,2106569,2.5547
2013-11-01,2045850,2.5652
2013-12-01,2806565,2.5811
2014-01-01,2447397,2.5962
2014-02-01,2118540,2.6129
2014-03-01,2525496,2.5901
2014-04-01,2175009,2.5948
2014-05-01,2266417,2.5794
2014-06-01,2342187,2.5719
2014-07-01,2229920,2.5616
2014-08-01,2273271,2.5458
2014-09-01,2233545,2.5469
2014-10-01,2247666,2.5663
2014-11-01,2130022,2.581
2014-12-01,2447845,2.6456
2015-01-01,2291603,2.6792
2015-02-01,1949016,2.6524
2015-03-01,2242077,2.6726
2015-04-01,2071922,2.6923
2015-05-01,2118890,2.6999
2015-06-01,1893792,2.7781
2015-07-01,2216049,2.7934
2015-08-01,2182536,2.9042
2015-09-01,2084339,3.0458
2015-10-01,2082866,3.0432
2015-11-01,2004694,3.0506
2015-12-01,2583467,3.0393
2016-01-01,2376166,3.0323
2016-02-01,2091098,2.9792
2016-03-01,2198716,2.9655
2016-04-01,2101280,2.8904
2016-05-01,2144119,2.9535
2016-06-01,2121396,3.014
2016-07-01,2296615,2.9755
2016-08-01,2282173,2.9901
2016-09-01,2118367,3.0233
2016-10-01,2326487,3.0177
2016-11-01,2054165,3.0737
2016-12-01,2646810,3.107
2017-01-01,2350270,3.1214
2017-02-01,2043215,3.1422
2017-03-01,2238184,3.1583
2017-04-01,2145734,3.1521
2017-05-01,2039016,3.0933
2017-06-01,2134647,3.0909
2017-07-01,2263478,3.1282
2017-08-01,2129013,3.1482
2017-09-01,2092378,3.1193
2017-10-01,2068995,3.1085
2017-11-01,2007965,3.0769
2017-12-01,2435564,3.0284
2018-01-01,2276750,2.9925
2018-02-01,2050613,2.9635
2018-03-01,2192855,2.969
2018-04-01,1957248,2.9555
2018-05-01,1976981,2.9622
2018-06-01,2275921,2.9687
2018-07-01,2305324,2.9704
2018-08-01,2253534,2.9896
2018-09-01,2096889,3.0209
2018-10-01,2103975,3.0154
2018-11-01,1989842,3.0433
2018-12-01,2352422,3.0453
2019-01-01,2195684,3.035
2019-02-01,2165933,3.0092
2019-03-01,2334613,3.0125
2019-04-01,2159517,3.034
2019-05-01,2098267,3.0438
2019-06-01,2400561,3.054
2019-07-01,2415097,3.0322
2019-08-01,2342438,3.0242
2019-09-01,1997093,3.0329
2019-10-01,2031198,3.0542
2019-11-01,1969315,3.0545
2019-12-01,1991068,3.0566
2020-01-01,2164459,3.0204
2020-02-01,1397912,2.9959
2020-03-01,671084,3.0329
2020-04-01,7546,3.0586
2020-05-01,5411,3.0615
2020-06-01,6585,3.0667
2020-07-01,18660,3.0722
2020-08-01,11631,3.0579
2020-09-01,16131,3.039
2020-10-01,11315,3.0548
2020-11-01,11420,3.0524
2020-12-01,10568,3.0441
2021-01-01,8012,3.0458
2021-02-01,7599,3.0479
2021-03-01,9645,3.0614
2021-04-01,9742,3.0886
2021-05-01,9156,3.1033
2021-06-01,6459,3.101
2021-07-01,6203,3.1002
2021-08-01,8062,3.1149
2021-09-01,8431,3.0911
2021-10-01,10684,3.081
2021-11-01,14722,3.0796
2021-12-01,36013,3.0886
2022-01-01,29797,3.1013
2022-02-01,26760,3.1096
2022-03-01,41496,3.0903
2022-04-01,392059,3.1248
2022-05-01,670474,3.1743
2022-06-01,971574,3.1799
2022-07-01,1076218,3.1836
2022-08-01,1102625,3.228
2022-09-01,1245278,3.2144
2022-10-01,1344091,3.2974
2022-11-01,1330700,3.3287
2022-12-01,1839892,3.2651
2023-01-01,1496308,3.2651
2023-02-01,1298261,3.2854
2023-03-01,1593033,3.3309
2023-04-01,1543063,3.3214
2023-05-01,1550491,3.3753
2023-06-01,1678913,3.4431
2023-07-01,1821521,3.4425
2023-08-01,1717273,3.4125
2023-09-01,1768174,3.4339
2023-10-01,1645241,3.4668
2023-11-01,1706190,3.477
2023-12-01,2323378,3.4967
2024-01-01,1771571,3.5071
2024-02-01,1952043,3.5488
2024-03-01,2088386,3.5184
2024-04-01,1748642,3.5126
2024-05-01,1925729,3.4919
2024-06-01,2322566,3.4846
2024-07-01,2256252,3.4746
2024-08-01,2386002,3.3561
2024-09-01,1926651,3.2876
2024-10-01,2230457,3.2814
2024-11-01,1856312,3.3188
2024-12-01,2552087,3.3034
